CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
293010;BA;2;EMAD I, EMAP;Senhor do Bonfim
293015;BA;2;EMAD II, EMAP;Serra do Ramalho
293050;BA;2;EMAD I, EMAP;Serrinha
293070;BA;2;EMAD I, EMAP;Simões Filho
293130;BA;1;EMAD II;Tapiramutá
293135;BA;3;EMAD I, EMAP;Teixeira de Freitas
293150;BA;2;EMAD II, EMAP;Teofilândia
293190;BA;2;EMAD I, EMAP;Tucano
293200;BA;1;EMAD II;Uauá
293230;BA;2;EMAD II, EMAP;Ubatã
293250;BA;2;EMAD II, EMAP;Una
293270;BA;2;EMAD II, EMAP;Uruçuca
293290;BA;2;EMAD I, EMAP;Valença
293300;BA;1;EMAD II;Valente
293320;BA;2;EMAD I, EMAP;Vera Cruz
293330;BA;2;EMAD I, EMAP;Vitória da Conquista
293360;BA;1;EMAD I;Xique-Xique
