SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME
1710893;CE;Nordeste;EMAD I;False
1710907;CE;Nordeste;EMAP;True
1700626;CE;Nordeste;EMAD I;False
1700634;CE;Nordeste;EMAD I;False
1607871;TO;Norte;EMAD I;True
2245116;MA;Nordeste;EMAD II;False
2287072;SP;Sudeste;EMAD I;True
2287099;SP;Sudeste;EMAP;True
2279371;CE;Nordeste;EMAD II;True
1696084;MG;Sudeste;EMAD I;True
1696092;MG;Sudeste;EMAP;True
2167433;MG;Sudeste;EMAD II;True
356816;SP;Sudeste;EMAD I;False
1505289;BA;Nordeste;EMAP;True
1505297;BA;Nordeste;EMAD II;True
1472720;MA;Nordeste;EMAD I;True
1569945;DF;Centro-Oeste;EMAP;True
468568;DF;Centro-Oeste;EMAP;True
1715232;SP;Sudeste;EMAD I;False
1711881;GO;Centro-Oeste;EMAD II;True
1711903;GO;Centro-Oeste;EMAP;True
1476505;BA;Nordeste;EMAD I;False
1476513;BA;Nordeste;EMAP;True
1688081;CE;Nordeste;EMAP;True
1688073;CE;Nordeste;EMAD I;False
1483528;GO;Centro-Oeste;EMAD I;False
1483536;GO;Centro-Oeste;EMAP;True
1616382;CE;Nordeste;EMAD I;True
1618903;CE;Nordeste;EMAP;True
2244063;CE;Nordeste;EMAD II;True
2175126;RS;Sul;EMAP;True
1656554;AL;Nordeste;EMAD I;True
1656562;AL;Nordeste;EMAD I;False
1592351;PI;Nordeste;EMAP;False
1592335;PI;Nordeste;EMAD I;False
1667912;BA;Nordeste;EMAP;True
1695827;SP;Sudeste;EMAD I;False
2436817;BA;Nordeste;EMAD I;True
1669923;SP;Sudeste;EMAD I;True
1688464;BA;Nordeste;EMAD I;True
1688472;BA;Nordeste;EMAP;True
1697552;BA;Nordeste;EMAD II;True
1697579;BA;Nordeste;EMAP;True
1704001;AL;Nordeste;EMAD I;True
1704028;AL;Nordeste;EMAP;True
1706853;PA;Norte;EMAD I;False
1709046;PA;Norte;EMAP;True
2190761;PB;Nordeste;EMAD II;True
1618830;PB;Nordeste;EMAP;True
1469037;RJ;Sudeste;EMAP;True
1580353;RJ;Sudeste;EMAD I;False
310409;RJ;Sudeste;EMAP;True
1542281;AM;Norte;EMAD I;True
1708015;BA;Nordeste;EMAD II;True
1708023;BA;Nordeste;EMAP;True
1489976;PB;Nordeste;EMAP;False
1489984;PB;Nordeste;EMAD II;True
1474278;RJ;Sudeste;EMAD I;True
1594524;RJ;Sudeste;EMAP;True
468398;DF;Centro-Oeste;EMAD I;True
2159864;CE;Nordeste;EMAD II;True
1681176;SC;Sul;EMAD I;True
2264358;SP;Sudeste;EMAP;True
151262;PE;Nordeste;EMAD I;False
151548;PE;Nordeste;EMAD I;False
151572;PE;Nordeste;EMAP;True
1486101;PE;Nordeste;EMAD I;False
1512749;TO;Norte;EMAP;False
2209683;PA;Norte;EMAD I;True
2197987;BA;Nordeste;EMAD I;False
348341;SP;Sudeste;EMAD I;True
348333;SP;Sudeste;EMAP;True
1537288;SP;Sudeste;EMAD I;True
2291045;PR;Sul;EMAD I;True
1561375;PB;Nordeste;EMAD II;True
1561189;PB;Nordeste;EMAP;True
1533657;SP;Sudeste;EMAD I;False
1533851;SP;Sudeste;EMAD I;False
1535870;BA;Nordeste;EMAD II;True
1536265;BA;Nordeste;EMAP;True
1543415;PA;Norte;EMAD I;True
1543423;PA;Norte;EMAP;True
199141;BA;Nordeste;EMAD I;False
199168;BA;Nordeste;EMAP;True
2167646;PE;Nordeste;EMAD II;False
1571311;PE;Nordeste;EMAD I;False
2232618;PA;Norte;EMAD I;False
1481959;RJ;Sudeste;EMAD I;True
1698176;MG;Sudeste;EMAD I;True
368164;SP;Sudeste;EMAP;True
1528122;SP;Sudeste;EMAD I;True
1528130;SP;Sudeste;EMAP;True
1677578;SE;Nordeste;EMAD II;True
1677586;SE;Nordeste;EMAP;True
1666991;PA;Norte;EMAD I;True
1667009;PA;Norte;EMAP;True
2255782;SE;Nordeste;EMAD II;True
2264420;SP;Sudeste;EMAP;True
1570463;RS;Sul;EMAD I;True
2301865;PB;Nordeste;EMAP;True
1485180;AL;Nordeste;EMAP;False
1485172;AL;Nordeste;EMAD I;True
2178877;MG;Sudeste;EMAP;True
2190982;PA;Norte;EMAD I;True
2190990;PA;Norte;EMAP;True
2204940;PR;Sul;EMAD I;True
2204959;PR;Sul;EMAP;True
2303132;SP;Sudeste;EMAD I;False
1561049;PI;Nordeste;EMAD II;True
1561057;PI;Nordeste;EMAP;True
1505173;CE;Nordeste;EMAD I;False
1505211;CE;Nordeste;EMAP;True
1584731;SP;Sudeste;EMAD I;False
1495933;SC;Sul;EMAD II;True
2170191;SC;Sul;EMAP;True
1623397;PB;Nordeste;EMAD II;True
1487000;RS;Sul;EMAD I;False
1699350;SP;Sudeste;EMAD I;False
1698389;PA;Norte;EMAD II;True
232327;MG;Sudeste;EMAD I;True
1711644;MG;Sudeste;EMAP;True
1484362;AL;Nordeste;EMAD I;True
2233789;PB;Nordeste;EMAP;False
2233797;PB;Nordeste;EMAD II;True
2141108;PR;Sul;EMAD I;False
1660292;SC;Sul;EMAD II;True
1656694;MG;Sudeste;EMAP;True
1711660;PR;Sul;EMAD I;False
1711679;PR;Sul;EMAP;True
2260611;PR;Sul;EMAP;False
